key,English,Chinese,Japanese,Hindi,Arabic,French,Spanish,Russian
notice_content8,I hope you have a great day! Don't forget about our daily Solitaire challenge~,我希望你有一个美好的一天，别忘记我们的接龙挑战哦,良い一日をお過ごし下さい！ 毎日のソリティア チャレンジを忘れないでください~,आशा है आपका दिन बढ़िया रहे! हमारे दैनिक सॉलिटेयर चैलेंज के बारे में मत भूलना~,آمل أن يكون لديك يوم عظيم! لا تنسى تحدي السوليتير اليومي ~,J'espère que tu as passé une bonne journée! N'oubliez pas notre défi Solitaire quotidien ~,¡Espero que tengas un buen día! No te olvides de nuestro desafío diario de Solitario ~,Надеюсь у тебя хороший день! Не забывайте о нашем ежедневном испытании «Пасьянс»~
notice_title9,Yoink~,呦吼,よーいんく〜,योइंक~,يوينك~,Yoink~,Yoink ~,Йонк~
notice_content9,"I got a card for you, play a classic Solitaire to collect it!",我给你准备了一张小卡，来玩一局接龙吧,カードを用意しました。古典的なソリティアをプレイしてカードを集めてください!,"मुझे आपके लिए एक कार्ड मिला है, इसे इकट्ठा करने के लिए क्लासिक सॉलिटेयर खेलें!",لقد حصلت على بطاقة لك، العب لعبة سوليتير كلاسيكية لجمعها!,"J'ai une carte pour vous, jouez à un Solitaire classique pour la récupérer !","Tengo una carta para ti, ¡juega un solitario clásico para recogerla!","У меня есть для вас карта, разыграйте классический пасьянс, чтобы собрать ее!"
notice_title10,Psst~,喂喂,くっそ～,पीएसएसटी~,بسست ~,Psst~,Psst~,Тсс~
notice_content10,Let's go play some relaxing Solitaire and do some brain workouts!,来一起玩会休闲的接龙并且锻炼大脑吧,リラックスできるソリティアをプレイして、頭の体操をしましょう!,आइए कुछ आरामदायक सॉलिटेयर खेलें और कुछ दिमागी कसरत करें!,هيا بنا نلعب لعبة سوليتير مريحة ونقوم ببعض تمارين الدماغ!,Allons jouer au Solitaire relaxant et faire quelques exercices cérébraux !,¡Vamos a jugar un solitario relajante y hacer algunos ejercicios cerebrales!,Давайте поиграем в расслабляющий пасьянс и потренируем мозг!
notice_title11,Yohoho~,呦吼吼,よほほ〜,योहोहो~,يوهوهو~,Yohoho~,Yohoho ~,Йохохо~
notice_content11,How about a fun Solitaire before the meal? Already had a meal? That's fine too~,在饭前来局有趣的接龙怎么样？我是说饭后也行,お食事の前に楽しいソリティアはいかがですか? もうお食事をお召し上がりになりましたか？ それもいいですね～,भोजन से पहले एक मज़ेदार सॉलिटेयर के बारे में आपका क्या ख़याल है? पहले से ही भोजन कर लिया है? यह भी ठीक है~,ماذا عن لعبة سوليتير الممتعة قبل الوجبة؟ هل تناولت وجبة بالفعل؟ هذا جيد أيضًا~,Que diriez-vous d'un Solitaire ludique avant le repas ? Vous avez déjà mangé ? C'est bien aussi~,¿Qué tal un divertido solitario antes de la comida? ¿Ya comiste? Eso también está bien ~,Как насчет веселого пасьянса перед едой? Уже пообедали? Это тоже нормально~
notice_title12,Good evening!,晚上好！,こんばんは！,शुभ संध्या!,مساء الخير!,Bonne soirée!,¡Buenas noches!,Добрый вечер!
notice_content12,How about playing some relaxing Solitaire for a better sleep?,来玩会接龙之后睡个好觉怎么样？,より良い睡眠のために、リラックスできるソリティアをプレイしてみてはいかがでしょうか?,बेहतर नींद के लिए कुछ आरामदायक सॉलिटेयर खेलना कैसा रहेगा?,ماذا عن لعب لعبة سوليتير المريحة للحصول على نوم أفضل؟,Que diriez-vous de jouer au Solitaire relaxant pour mieux dormir ?,¿Qué tal jugar un solitario relajante para dormir mejor?,"Как насчет того, чтобы сыграть в расслабляющий пасьянс, чтобы лучше выспаться?"
notice_title13,Good evening!,晚上好！,こんばんは！,शुभ संध्या!,مساء الخير!,Bonne soirée!,¡Buenas noches!,Добрый вечер!
notice_content13,"Try playing a relaxing Solitaire with night mode, I am sure it will help you sleep well.",尝试玩助眠模式的接龙吧，我猜它会有帮助的,ナイト モードでリラックスできるソリティアをプレイしてみてください。きっとよく眠れるようになるでしょう。,"रात्रि मोड के साथ एक आरामदायक सॉलिटेयर खेलने का प्रयास करें, मुझे यकीन है कि यह आपको अच्छी नींद लेने में मदद करेगा।",حاول لعب لعبة سوليتير مريحة مع الوضع الليلي، وأنا متأكد من أنها ستساعدك على النوم جيدًا.,"Essayez de jouer à un Solitaire relaxant avec le mode nuit, je suis sûr que cela vous aidera à bien dormir.","Prueba a jugar un solitario relajante con modo nocturno, estoy seguro de que te ayudará a dormir bien.","Попробуйте разложить расслабляющий пасьянс в ночном режиме, уверен, это поможет вам хорошо выспаться."
notice_title14,Good evening!,晚上好！,こんばんは！,शुभ संध्या!,مساء الخير!,Bonne soirée!,¡Buenas noches!,Добрый вечер!
notice_content14,"Enjoy a casual Solitaire, sleep well, and prepare for a fantastic tomorrow.",玩会接龙，睡个好觉，然后迎接美好的明天,カジュアルなソリティアを楽しみ、よく眠り、素晴らしい明日に備えましょう。,"एक कैज़ुअल सॉलिटेयर का आनंद लें, अच्छी नींद लें और एक शानदार कल के लिए तैयारी करें।",استمتع بسوليتير غير رسمي، ونم جيدًا، واستعد لغد رائع.,"Profitez d'un solitaire décontracté, dormez bien et préparez-vous à un lendemain fantastique.","Disfruta de un solitario informal, duerme bien y prepárate para un mañana fantástico.","Наслаждайтесь случайным пасьянсом, спите спокойно и готовьтесь к фантастическому завтрашнему дню."
,Reset,重置,リセット,रीसेट,إعادة ضبط,Réinitialiser,Reiniciar,Перезагрузить
,Are you sure to reset statistics?,是否确认重置统计数据？,統計をリセットしてもよろしいですか?,क्या आप आँकड़े रीसेट करना सुनिश्चित कर रहे हैं?,هل أنت متأكد من إعادة تعيين الإحصائيات؟,Êtes-vous sûr de réinitialiser les statistiques ?,¿Estás seguro de restablecer las estadísticas?,"Вы уверены, что сбросить статистику?"
,Confirm,确认,確認する,पुष्टि करना,يتأكد,Confirmer,Confirmar,Подтверждать
lag0263,Black Mode,黑色模式,ブラックモード,ब्लैक मोड,الوضع الأسود,Mode noir,Modo negro,Черный режим
,Congratulations!,恭喜,おめでとう！,बधाई हो!,تهانينا!,Toutes nos félicitations!,¡Felicidades!,Поздравляем!
,The new table has been unlocked,新背景已解锁,新しいテーブルのロックが解除されました,नई तालिका अनलॉक कर दी गई है,لقد تم فتح الجدول الجديد,La nouvelle table a été débloquée,La nueva mesa ha sido desbloqueada.,Новый стол разблокирован.
,The new front has been unlocked,新牌背已解锁,新しい戦線のロックが解除されました,नया मोर्चा खोल दिया गया है,لقد تم فتح الجبهة الجديدة,La nouvelle façade a été déverrouillée,El nuevo frente ha sido desbloqueado.,Новый фронт разблокирован
,The new back has been unlocked,新牌面已解锁,新しいバックのロックが解除されました,नया बैक अनलॉक कर दिया गया है,لقد تم فتح الجزء الخلفي الجديد,Le nouveau dos a été débloqué,La nueva espalda ha sido desbloqueada.,Новая спина разблокирована
,OK,好的,わかりました,ठीक है,نعم,D'ACCORD,DE ACUERDO,ХОРОШО
,USE,使用,使用,उपयोग,يستخدم,UTILISER,USAR,ИСПОЛЬЗОВАТЬ
,Independence Day,独立日,独立記念日,स्वतंत्रता दिवस,يوم الاستقلال,Jour de l'indépendance,Día de la Independencia,День независимости
,Not Enough Gold,金币不足,ゴールドが足りない,पर्याप्त सोना नहीं,ليس ما يكفي من الذهب,Pas assez d'or,Insuficiente oro,Недостаточно золота
,New Table,新桌面,新しいテーブル,नई तालिका,طاولة جديدة,Nouveau tableau,Nueva mesa,Новая таблица
,New Stamp,新邮票,新しいスタンプ,नया स्टाम्प,ختم جديد,Nouveau timbre,Nuevo sello,Новая марка
,Win #1 games to unlock.,胜利#1场解锁,#1 ゲームに勝利してロックを解除しましょう。,अनलॉक करने के लिए #1 गेम जीतें।,فوز بالألعاب رقم 1 لفتحها.,Gagnez les jeux n°1 à débloquer.,Gana los juegos número 1 para desbloquear.,"Выиграйте игры №1, чтобы разблокировать их."
,Hawaii,夏威夷,ハワイ,हवाई,هاواي,Hawaii,Hawai,Гавайи
,Wood,木质,木材,लकड़ी,خشب,Bois,Madera,Древесина
,1970s,70年代,1970年代,1970 के दशक,السبعينيات,années 1970,década de 1970,1970-е годы
,You beat,你击败了,あなたは勝ちました,आप मारो,لقد تغلبت,Tu as battu,Vences,Ты победил
,players!,的玩家！,選手たち！,खिलाड़ियों!,اللاعبين!,joueurs!,jugadores!,игроки!
,Daily Mission,每日任务,毎日のタスク,दिनांक कार्य,المهام اليومية,Tâches quotidiennes,Tareas diarias,Ежедневные задания
,Magic Wand,魔法棒,魔法の杖,जादू की छड़ी,العصا السحرية,Baguette magique,Varita mágica,Волшебная палочка
MagicWand1,Use a Magic Wand to remove a hidden card!,使用魔法棒移除隐藏的卡！,魔法の杖を使って隠されたカードを取り除きましょう！,छिपे हुए कार्ड को निकालने के लिए जादू की छड़ी का उपयोग करें!,استخدم العصا السحرية لإزالة البطاقة المخفية!,Utilisez une baguette magique pour retirer une carte cachée !,¡Usa una varita mágica para eliminar una carta oculta!,"Используйте Волшебную палочку, чтобы удалить скрытую карту!"
,Get Free,免费,自由になる,नि: शुल्क पाएं,تحرر,Obtenez gratuitement,Liberarse,Получить бесплатно
,Watch Ads,观看广告,広告を見る,विज्ञापन देखें,مشاهدة الإعلانات,Regarder les annonces,Ver anuncios,Смотреть рекламу
,Unlock,解锁,ロックを解除する,अनलॉक,الغاء القفل,Ouvrir,desbloquear,Разблокировать
,Continue,继续,続く,जारी रखना,يكمل,Continuer,Continuar,Продолжать
,Best,最好,最高,श्रेष्ठ,أفضل,Meilleur,Mejor,Лучший
,You Got,你得到了,ユー・ガット,आपको मिला,أنت حصلت,Vous avez,Tu tienes,Ты получил
duliri,Independence Day,独立日,独立記念日,स्वतंत्रता दिवस,يوم الاستقلال,Jour de l'indépendance,Día de la Independencia,День независимости
xiaweiyi,Hawaii,夏威夷,ハワイ,हवाई,هاواي,Hawaii,Hawai,Гавайи
wood,Wood,木质,木材,लकड़ी,خشب,Bois,Madera,Древесина
1970s,1970s,70年代,1970年代,1970 के दशक,السبعينيات,années 1970,década de 1970,1970-е годы
,wins for the next reward,胜获得下一个奖励,勝利すると次の報酬を獲得できます,अगले इनाम के लिए जीतता है,يفوز بالمكافأة القادمة,gagne pour la prochaine récompense,gana para la próxima recompensa,выигрыши за следующую награду
,Daily Rank,每日排名,デイリーランク,दैनिक रैंक,الرتبة اليومية,Classement quotidien,Rango diario,Ежедневный рейтинг
,Rank,排名,ランク,पद,رتبة,Rang,Rango,Классифицировать
,In preparation,准备中,準備中,तैयारी में,قيد التحضير,En préparation,En la preparación de,В подготовке
,Connection failed!,连接失败！,接続に失敗しました！,कनेक्शन विफल!,فشل الاتصال!,La connexion a échoué!,¡La conexión falló!,Соединение не удалось!
,Me,我,自分,मुझे,أنا,Moi,A mí,Мне
,World Rank,世界排名,世界ランク,विश्व रैंक,ترتيب العالمي,Classement mondial,Categoría mundial,Мировой рейтинг
,"Oops, something went wrong!",哎呀，出了问题！,おっと！何かが間違っていた！,ओह! कुछ गलत हो गया है!,تبا شيء ما حدث بشكل خاطئ!,"Oups, quelque chose s'est mal passé !",¡Huy! Algo salió mal!,Упс! Что-то пошло не так!
,Language,语言,言語,भाषा,لغة,Langue,Idiomas,Язык
,UI Style,UI风格,UIスタイル,यूआई शैली,نمط واجهة المستخدم,Le style UI,Estilo UI,Стиль UI
,Green,绿色,グリーン,हराcolor,غرين,Vert,Verde,Зелёный
,Black,黑色,ブラック,काला,أسود .,Noir,Negro,Чёрный
,Come on and win your trophy!,加油赢得你的奖杯吧！,頑張ってトロフィーを勝ち取ろう！,आओ और अपनी ट्रोफी जीतो!,هيا الفوز بالكأس !,"Allez, gagnez votre trophée!",¡Vamos a ganar tu trofeo!,"Давай, выиграй свой трофей!"
,Date,日期,日付,दिनांक कार्य,تواريخ,Date,Fecha,Дата
,History,历史,履歴,इतिहास,تاريخ,Historique,Historia,История
,Select UI Style,选择UI样式,UI スタイルの選択,यूआई शैली चुनें,حدد نمط واجهة المستخدم,Sélectionnez le style d'interface utilisateur,Seleccionar estilo de interfaz de usuario,Выберите стиль пользовательского интерфейса
,Well done！,干得漂亮！,よくやった！,बहुत अच्छा!,أحسنت!,Bien joué!,¡Bien hecho!,Отличная работа!
,You can Auto move cards to the foundation now！,你现在可以自动快速收牌了！,カードを財団に自動で移動できるようになりました！,अब आप कार्डों को फ़ाउंडेशन में स्वतः स्थानांतरित कर सकते हैं!,يمكنك نقل البطاقات تلقائيًا إلى المؤسسة الآن!,Vous pouvez désormais déplacer automatiquement les cartes vers la fondation !,¡Ahora puedes mover cartas automáticamente a la base!,Теперь вы можете автоматически перемещать карты в фонд！
,Current ranking,当前排名,現在のランキング,वर्तमान रैंकिंग,الترتيب الحالي,Classement actuel,Clasificación actual,Текущий рейтинг
,Connecting,连接中,接続中,कनेक्ट,توصيل,De liaison,Conectando,Подключение
,IQ Mode,IQ模式,IQモード,बुद्धि मोड,وضع الذكاء,Mode QI,Modo coeficiente intelectual,Режим IQ
,Left Hand Mode,左手模式,左手モード,बाएँ हाथ का मोड,وضع اليد اليسرى,Mode main gauche,Modo mano izquierda,Режим левой руки
,Music,音乐,音楽,संगीत,موسيقى,Musique,Música,Музыка
,Select Music,选择音乐,音楽を選択,संगीत चुनें,حدد الموسيقى,Sélectionnez la musique,Seleccionar música,Выберите музыку
,Choose your music in settings,在设置中选择音乐,設定で音楽を選択してください,सेटिंग्स में अपना संगीत चुनें,اختر الموسيقى الخاصة بك في الإعدادات,Choisissez votre musique dans les paramètres,Elige tu música en la configuración,Выберите музыку в настройках
Music1,Delight,愉悦,喜び,आनंद,بهجة,Plaisir,Deleitar,Восторг
Music2,Warm,温暖,暖かい,गरम,دافيء,Chaud,Cálido,Теплый
Music3,Rain,雨,雨,बारिश,مطر,Pluie,Lluvia,Дождь
Music0,None,无,なし,कोई नहीं,لا أحد,Aucun,Ninguno,Никто
,Music On!,音乐打开！,音楽オン！,इसपर संगीत!,تشغيل الموسيقى!,Musique allumée!,¡Música encendida!,Музыка включена!
Music accompaies me! ,"Music accompaies me! 
Choose/Close Music in Setting.","音乐伴随着我！
在设置中选择/关闭音乐。","音楽は私と一緒です！
設定で音楽を選択/オフにします。","संगीत मेरा साथ देता है!
सेटिंग्स में संगीत चुनें/बंद करें।","الموسيقى ترافقني!
حدد/أوقف تشغيل الموسيقى في الإعدادات.","La musique m'accompagne !
Sélectionnez/désactivez la musique dans les paramètres.","¡La música me acompaña!
Seleccione/apague la música en la configuración.","Музыка сопровождает меня!
Выбрать/отключить музыку в настройках."
,Tap a star and let us know your thoughts!,点击一颗星星，让我们知道您的想法！,星をタップしてあなたのご意見をお聞かせください!,किसी तारे को टैप करें और हमें अपने विचार बताएं!,اضغط على نجمة وأخبرنا بأفكارك!,Appuyez sur une étoile et faites-nous part de votre avis !,¡Toca una estrella y cuéntanos tu opinión!,"Нажмите звездочку и дайте нам знать, что вы думаете!"
,Reviews,评论,レビュー,समीक्षा,التعليقات,Commentaires,Reseñas,Отзывы
,Enjoying Solitaire？,喜欢纸牌游戏吗？,ソリティアを楽しんでいますか？,सॉलिटेयर का आनंद ले रहे हैं？,تتمتع سوليتير？,Vous appréciez le solitaire ?,¿Disfrutando del solitario?,Наслаждаемся пасьянсом?
,Share with friends,分享给好友,友人たちと分ける,दोस्तों के साथ बांटें,شارك مع الاصدقاء,Partager avec des amis,Compartir con amigos,Поделиться с друзьями
