key,English,Chinese,Japanese,Hindi,Arabic,French,Spanish,Russian
notice_content11,How about a fun Solitaire before the meal? Already had a meal? That's fine too~,在饭前来局有趣的接龙怎么样？我是说饭后也行,お食事の前に楽しいソリティアはいかがですか? もうお食事をお召し上がりになりましたか？ それもいいですね～,???? ?? ???? ?? ??????? ???????? ?? ???? ??? ???? ???? ????? ??? ???? ?? ?? ???? ?? ???? ??? ?? ?? ??? ??~,???? ?? ???? ??????? ??????? ??? ??????? ?? ?????? ???? ??????? ??? ??? ?????~,Que diriez-vous d'un Solitaire ludique avant le repas ? Vous avez déjà mangé ? C'est bien aussi~,?Qué tal un divertido solitario antes de la comida? ?Ya comiste? Eso también está bien ~,Как насчет веселого пасьянса перед едой? Уже пообедали? Это тоже нормально~
notice_title12,Good evening!,晚上好！,こんばんは！,??? ??????!,???? ?????!,Bonne soirée!,?Buenas noches!,Добрый вечер!
notice_content12,How about playing some relaxing Solitaire for a better sleep?,来玩会接龙之后睡个好觉怎么样？,より良い睡眠のために、リラックスできるソリティアをプレイしてみてはいかがでしょうか?,????? ???? ?? ??? ??? ???????? ???????? ????? ???? ??????,???? ?? ??? ???? ??????? ??????? ?????? ??? ??? ?????,Que diriez-vous de jouer au Solitaire relaxant pour mieux dormir??,?Qué tal jugar un solitario relajante para dormir mejor?,"Как насчет того, чтобы сыграть в расслабляющий пасьянс, чтобы лучше выспаться?"
notice_title13,Good evening!,晚上好！,こんばんは！,??? ??????!,???? ?????!,Bonne soirée!,?Buenas noches!,Добрый вечер!
notice_content13,"Try playing a relaxing Solitaire with night mode, I am sure it will help you sleep well.",尝试玩助眠模式的接龙吧，我猜它会有帮助的,ナイト モードでリラックスできるソリティアをプレイしてみてください。きっとよく眠れるようになるでしょう。,"?????? ??? ?? ??? ?? ???????? ???????? ????? ?? ?????? ????, ???? ???? ?? ?? ?? ???? ????? ???? ???? ??? ??? ??????",???? ??? ???? ??????? ????? ?? ????? ??????? ???? ????? ?? ???? ??????? ??? ????? ?????.,"Essayez de jouer à un Solitaire relaxant avec le mode nuit, je suis s?r que cela vous aidera à bien dormir.","Prueba a jugar un solitario relajante con modo nocturno, estoy seguro de que te ayudará a dormir bien.","Попробуйте разложить расслабляющий пасьянс в ночном режиме, уверен, это поможет вам хорошо выспаться."
notice_title14,Good evening!,晚上好！,こんばんは！,??? ??????!,???? ?????!,Bonne soirée!,?Buenas noches!,Добрый вечер!
notice_content14,"Enjoy a casual Solitaire, sleep well, and prepare for a fantastic tomorrow.",玩会接龙，睡个好觉，然后迎接美好的明天,カジュアルなソリティアを楽しみ、よく眠り、素晴らしい明日に備えましょう。,"?? ??????? ???????? ?? ???? ???, ????? ???? ??? ?? ?? ?????? ?? ?? ??? ?????? ?????",?????? ???????? ??? ????? ??? ?????? ?????? ??? ????.,"Profitez d'un solitaire décontracté, dormez bien et préparez-vous à un lendemain fantastique.","Disfruta de un solitario informal, duerme bien y prepárate para un ma?ana fantástico.","Наслаждайтесь случайным пасьянсом, спите спокойно и готовьтесь к фантастическому завтрашнему дню."
,Reset,重置,リセット,?????,????? ???,Réinitialiser,Reiniciar,Перезагрузить
,Are you sure to reset statistics?,是否确认重置统计数据？,統計をリセットしてもよろしいですか?,???? ?? ?????? ????? ???? ????????? ?? ??? ????,?? ??? ????? ?? ????? ????? ???????????,êtes-vous s?r de réinitialiser les statistiques??,?Estás seguro de restablecer las estadísticas?,"Вы уверены, что сбросить статистику?"
,Confirm,确认,確認する,?????? ????,?????,Confirmer,Confirmar,Подтверждать
lag0263,Black Mode,黑色模式,ブラックモード,????? ???,????? ??????,Mode noir,Modo negro,Черный режим
,Congratulations!,恭喜,おめでとう！,???? ??!,???????!,Toutes nos félicitations!,?Felicidades!,Поздравляем!
,The new table has been unlocked,新背景已解锁,新しいテーブルのロックが解除されました,?? ?????? ????? ?? ?? ?? ??,??? ?? ??? ?????? ??????,La nouvelle table a été débloquée,La nueva mesa ha sido desbloqueada.,Новый стол разблокирован.
,The new front has been unlocked,新牌背已解锁,新しい戦線のロックが解除されました,??? ?????? ??? ???? ??? ??,??? ?? ??? ?????? ???????,La nouvelle fa?ade a été déverrouillée,El nuevo frente ha sido desbloqueado.,Новый фронт разблокирован
,The new back has been unlocked,新牌面已解锁,新しいバックのロックが解除されました,??? ??? ????? ?? ???? ??? ??,??? ?? ??? ????? ?????? ??????,Le nouveau dos a été débloqué,La nueva espalda ha sido desbloqueada.,Новая спина разблокирована
,OK,好的,わかりました,??? ??,???,D'ACCORD,DE ACUERDO,ХОРОШО
,USE,使用,使用,?????,??????,UTILISER,USAR,ИСПОЛЬЗОВАТЬ
,Independence Day,独立日,独立記念日,?????????? ????,??? ?????????,Jour de l'indépendance,Día de la Independencia,День независимости
,Not Enough Gold,金币不足,ゴールドが足りない,???????? ???? ????,??? ?? ???? ?? ?????,Pas assez d'or,Insuficiente oro,Недостаточно золота
,New Table,新桌面,新しいテーブル,?? ??????,????? ?????,Nouveau tableau,Nueva mesa,Новая таблица
,New Stamp,新邮票,新しいスタンプ,??? ???????,??? ????,Nouveau timbre,Nuevo sello,Новая марка
,Win #1 games to unlock.,胜利#1场解锁,#1 ゲームに勝利してロックを解除しましょう。,????? ???? ?? ??? #1 ??? ??????,??? ???????? ??? 1 ??????.,Gagnez les jeux n°1 à débloquer.,Gana los juegos número 1 para desbloquear.,"Выиграйте игры №1, чтобы разблокировать их."
,Hawaii,夏威夷,ハワイ,????,?????,Hawaii,Hawai,Гавайи
,Wood,木质,木材,?????,???,Bois,Madera,Древесина
,1970s,70年代,1970年代,1970 ?? ???,??????????,années 1970,década de 1970,1970-е годы
,You beat,你击败了,あなたは勝ちました,?? ????,??? ?????,Tu as battu,Vences,Ты победил
,players!,的玩家！,選手たち！,??????????!,????????!,joueurs!,jugadores!,игроки!
,Daily Mission,每日任务,毎日のタスク,?????? ?????,?????? ???????,Taches quotidiennes,Tareas diarias,Ежедневные задания
,Magic Wand,魔法棒,魔法の杖,???? ?? ????,????? ???????,Baguette magique,Varita mágica,Волшебная палочка
MagicWand1,Use a Magic Wand to remove a hidden card!,使用魔法棒移除隐藏的卡！,魔法の杖を使って隠されたカードを取り除きましょう！,???? ??? ????? ?? ??????? ?? ??? ???? ?? ???? ?? ????? ????!,?????? ????? ??????? ?????? ??????? ???????!,Utilisez une baguette magique pour retirer une carte cachée?!,?Usa una varita mágica para eliminar una carta oculta!,"Используйте Волшебную палочку, чтобы удалить скрытую карту!"
,Get Free,免费,自由になる,??: ????? ????,????,Obtenez gratuitement,Liberarse,Получить бесплатно
,Watch Ads,观看广告,広告を見る,???????? ?????,?????? ?????????,Regarder les annonces,Ver anuncios,Смотреть рекламу
,Unlock,解锁,ロックを解除する,?????,????? ?????,Ouvrir,desbloquear,Разблокировать
,Continue,继续,続く,???? ????,????,Continuer,Continuar,Продолжать
,Best,最好,最高,???????,????,Meilleur,Mejor,Лучший
,You Got,你得到了,ユー?ガット,???? ????,??? ????,Vous avez,Tu tienes,Ты получил
duliri,Independence Day,独立日,独立記念日,?????????? ????,??? ?????????,Jour de l'indépendance,Día de la Independencia,День независимости
xiaweiyi,Hawaii,夏威夷,ハワイ,????,?????,Hawaii,Hawai,Гавайи
wood,Wood,木质,木材,?????,???,Bois,Madera,Древесина
1970s,1970s,70年代,1970年代,1970 ?? ???,??????????,années 1970,década de 1970,1970-е годы
,wins for the next reward,胜获得下一个奖励,勝利すると次の報酬を獲得できます,???? ???? ?? ??? ????? ??,???? ????????? ???????,gagne pour la prochaine récompense,gana para la próxima recompensa,выигрыши за следующую награду
,Daily Rank,每日排名,デイリーランク,????? ????,?????? ???????,Classement quotidien,Rango diario,Ежедневный рейтинг
,Rank,排名,ランク,??,????,Rang,Rango,Классифицировать
,In preparation,准备中,準備中,?????? ???,??? ???????,En préparation,En la preparación de,В подготовке
,Connection failed!,连接失败！,接続に失敗しました！,??????? ????!,??? ???????!,La connexion a échoué!,?La conexión falló!,Соединение не удалось!
,Me,我,自分,????,???,Moi,A mí,Мне
,World Rank,世界排名,世界ランク,????? ????,????? ???????,Classement mondial,Categoría mundial,Мировой рейтинг
,"Oops, something went wrong!",哎呀，出了问题！,おっと！何かが間違っていた！,??! ??? ??? ?? ??? ??!,??? ??? ?? ??? ???? ????!,"Oups, quelque chose s'est mal passé?!",?Huy! Algo salió mal!,Упс! Что-то пошло не так!
,Language,语言,言語,????,???,Langue,Idiomas,Язык
,UI Style,UI风格,UIスタイル,???? ????,??? ????? ????????,Le style UI,Estilo UI,Стиль UI
,Green,绿色,グリーン,???color,????,Vert,Verde,Зелёный
,Black,黑色,ブラック,????,???? .,Noir,Negro,Чёрный
,Come on and win your trophy!,加油赢得你的奖杯吧！,頑張ってトロフィーを勝ち取ろう！,?? ?? ???? ?????? ????!,??? ????? ?????? !,"Allez, gagnez votre trophée!",?Vamos a ganar tu trofeo!,"Давай, выиграй свой трофей!"
,Date,日期,日付,?????? ?????,??????,Date,Fecha,Дата
,History,历史,履歴,??????,?????,Historique,Historia,История
,Select UI Style,选择UI样式,UI スタイルの選択,???? ???? ?????,??? ??? ????? ????????,Sélectionnez le style d'interface utilisateur,Seleccionar estilo de interfaz de usuario,Выберите стиль пользовательского интерфейса
,Well done！,干得漂亮！,よくやった！,???? ?????!,?????!,Bien joué!,?Bien hecho!,Отличная работа!
,You can Auto move cards to the foundation now！,你现在可以自动快速收牌了！,カードを財団に自動で移動できるようになりました！,?? ?? ??????? ?? ????????? ??? ????? ??????????? ?? ???? ???!,????? ??? ???????? ???????? ??? ??????? ????!,Vous pouvez désormais déplacer automatiquement les cartes vers la fondation?!,?Ahora puedes mover cartas automáticamente a la base!,Теперь вы можете автоматически перемещать карты в фонд！
,Current ranking,当前排名,現在のランキング,??????? ???????,??????? ??????,Classement actuel,Clasificación actual,Текущий рейтинг
,Connecting,连接中,接続中,??????,?????,De liaison,Conectando,Подключение
,IQ Mode,IQ模式,IQモード,?????? ???,??? ??????,Mode QI,Modo coeficiente intelectual,Режим IQ
,Left Hand Mode,左手模式,左手モード,???? ??? ?? ???,??? ???? ??????,Mode main gauche,Modo mano izquierda,Режим левой руки
,Music,音乐,音楽,?????,??????,Musique,Música,Музыка
,Select Music,选择音乐,音楽を選択,????? ?????,??? ????????,Sélectionnez la musique,Seleccionar música,Выберите музыку
,Choose your music in settings,在设置中选择音乐,設定で音楽を選択してください,???????? ??? ???? ????? ?????,???? ???????? ?????? ?? ?? ?????????,Choisissez votre musique dans les paramètres,Elige tu música en la configuración,Выберите музыку в настройках
Music1,Delight,愉悦,喜び,????,????,Plaisir,Deleitar,Восторг
Music2,Warm,温暖,暖かい,???,?????,Chaud,Cálido,Теплый
Music3,Rain,雨,雨,?????,???,Pluie,Lluvia,Дождь
Music0,None,无,なし,??? ????,?? ???,Aucun,Ninguno,Никто
,Music On!,音乐打开！,音楽オン！,???? ?????!,????? ????????!,Musique allumée!,?Música encendida!,Музыка включена!
Music accompaies me! ,"Music accompaies me! 
Choose/Close Music in Setting.","音乐伴随着我！
在设置中选择/关闭音乐。","音楽は私と一緒です！
設定で音楽を選択/オフにします。","????? ???? ??? ???? ??!
???????? ??? ????? ?????/??? ?????","???????? ???????!
???/???? ????? ???????? ?? ?????????.","La musique m'accompagne !
Sélectionnez/désactivez la musique dans les paramètres.","?La música me acompa?a!
Seleccione/apague la música en la configuración.","Музыка сопровождает меня!
Выбрать/отключить музыку в настройках."
,Tap a star and let us know your thoughts!,点击一颗星星，让我们知道您的想法！,星をタップしてあなたのご意見をお聞かせください!,???? ???? ?? ??? ???? ?? ???? ???? ????? ?????!,???? ??? ???? ??????? ???????!,Appuyez sur une étoile et faites-nous part de votre avis?!,?Toca una estrella y cuéntanos tu opinión!,"Нажмите звездочку и дайте нам знать, что вы думаете!"
,Reviews,评论,レビュー,???????,?????????,Commentaires,Rese?as,Отзывы
,Enjoying Solitaire？,喜欢纸牌游戏吗？,ソリティアを楽しんでいますか？,???????? ?? ???? ?? ??? ???？,????? ???????？,Vous appréciez le solitaire??,?Disfrutando del solitario?,Наслаждаемся пасьянсом?
,Share with friends,分享给好友,友人たちと分ける,??????? ?? ??? ??????,???? ?? ????????,Partager avec des amis,Compartir con amigos,Поделиться с друзьями
